,0,1,2,3,4,5
0,1404.0411112624736,5918.727531296374,3839.7486932107013,5930.026853321339,8295.96366718919,6454.8743322403025
1,1510.8594071897803,5261.231634102295,3896.936727916531,5046.300568128918,8779.582213626318,6328.0510891055965
2,1596.6025656492445,4777.7822832906595,3964.646208440445,4516.449429753342,9030.53731257107,6907.831828924776
3,1676.122565050584,4322.8061197149955,4022.0385994119065,4231.3673285417135,8968.302050226312,7396.38184247329
4,1752.1612100691648,4138.9978678598645,4081.098193173422,4154.683419444363,8851.317236175051,7692.802328972746
5,1825.4956566814608,4079.3860703860787,4121.2224327950835,4142.275589336334,8793.158194386348,7935.203418543832
6,1898.1978653884876,4059.097926662282,4145.329083734612,4145.791286929069,8772.609371760485,8172.701930933033
7,1973.1296840528676,4051.6906878424797,4161.691907008051,4153.876496262233,8767.891877991415,8415.556347863281
8,2053.458929072625,4048.212378472709,4174.830267983561,4163.474851138521,8770.3703239185,8661.457311902017
9,2142.6056836134762,4045.2397240215614,4186.605932988964,4173.541792698704,8777.317873386748,8902.49271963302
10,2244.136743319769,4041.2653478373127,4197.671692207094,4183.623758360708,8787.511410308956,9127.288219332304
11,2361.036047859595,4035.4695763960003,4208.2003874540105,4193.478471939862,8799.196533800936,9322.336437848031
12,2493.7080822296357,4027.272265716341,4218.199786236089,4202.964039100509,8808.695367874772,9473.687326877574
13,2636.8106334792087,4016.1557413020896,4227.644074146726,4212.007387852112,8809.102817360303,9569.09447263547
14,2777.807478847697,4001.577612909001,4236.526580683337,4220.594754621991,8790.172534364225,9600.13318286767
15,2901.7271174810876,3982.9041905554195,4244.87665936128,4228.765150647956,8741.609125965118,9563.566489873388
16,2999.701596191598,3959.3349727873488,4252.75868663726,4236.601098248475,8658.752473825853,9461.2345110734
17,3072.1485544940256,3929.800919408307,4260.261507007161,4244.215929298877,8544.003896391923,9298.11556093459
18,3124.7862538922464,3892.81824107012,4267.481841270735,4251.737754749076,8401.733385241801,9079.278534904512
19,3163.746786170219,3846.2691518299453,4274.501267045254,4259.288487492851,8233.70303480095,8807.085301433417
20,3193.53203508922,3787.062357883121,4281.353209346276,4266.954056397827,8038.955564077263,8479.185581316497
21,3217.0185572793926,3710.595794452128,4287.971035815624,4274.737236125151,7815.345404091932,8086.875849155251
22,3236.0094141962854,3609.9020012627097,4294.094655260682,4282.471464479602,7560.153636641683,7613.2486322055065
23,3251.6972350465853,3474.3426082935844,4299.084778540394,4289.646481828436,7269.788111047218,7030.970618520635
24,3264.957728610808,3287.956336320237,4301.539278403081,4295.04256389419,6939.571223523811,6300.725478480978
25,3276.557231791821,3029.0273700162697,4298.515128351702,4295.978240279114,6564.972431957426,5377.174317909206
26,3287.3733061254666,2678.2807622898017,4284.1947221868295,4287.000925210229,6147.775103140155,4268.14330731171
27,3298.6758836722292,2254.7716274563636,4249.404883249192,4259.38632590519,5720.577194133367,3284.3942877680906
28,3312.226168910908,1865.7492058171001,4187.774959056476,4207.144971936952,5371.256184414106,2827.6886057454267
29,3328.8135603461174,1619.7615067387856,4102.3381539721595,4132.920154791854,5069.317984100859,2652.1634154611193
30,3345.9050214121876,1499.077549041233,4009.6670995859567,4052.87102930598,4779.171700312252,2600.589892819691
31,3360.95256808044,1449.3218327562354,3924.419047347597,3982.348384415532,4505.9227590898645,2632.1071534914286
32,3373.1010065253563,1435.9932477166242,3848.2809918522166,3924.2578339342144,4228.933236776999,2724.531616097288
33,3383.051175316687,1441.2077616094286,3776.165260844438,3874.836195223861,3915.6089282694393,2864.5050773901917
34,3392.606980754919,1456.1079837455895,3702.0265461346794,3829.408798857609,3566.436442635497,3034.1035894309466
35,3403.4854904185763,1476.286692255056,3620.7592951384754,3784.2270323609,3247.669057290885,3205.060855002222
36,3415.41691953664,1499.3522364689572,3528.5662409696615,3736.6531393573714,3030.587368733459,3343.6375279834847
37,3425.7923315037174,1523.7154640392464,3423.1944781702255,3685.119306966415,2919.785887159939,3441.3752413747993
38,3432.5395737293156,1548.0450626247473,3304.102138738584,3628.8922820235475,2867.143167362178,3506.613820562736
39,3436.247088509144,1571.2620560155046,3172.6165656894045,3568.336197806271,2843.2842901574863,3547.899002241401
40,3438.094841123016,1592.901732349695,3031.330962000792,3505.11079286431,2832.2443780247418,3572.3618865850804
41,3438.980062163892,1613.3370440732501,2883.0250052165616,3441.7321937871625,2826.9375395262214,3585.0255124186388
42,3439.403420091213,1633.5174880036404,2730.26542555112,3380.786938638792,2824.3751201712153,3589.8320180255573
43,3439.6066610421076,1654.431992996093,2575.9335607426074,3324.2896891656846,2823.2206415297956,3589.6350984034048
44,3439.7016328946793,1676.683097431335,2423.953163468188,3273.2545004681556,2822.8275485417716,3586.1439277007057
45,3439.7408771293635,1700.27871401451,2279.532501687915,3227.3720592642653,2822.872129819245,3580.246984176126
46,3439.749784470264,1724.6010588707977,2148.5471809493347,3184.95946411413,2823.193521236662,3572.4874610591132
47,3439.7407963373385,1748.5449533673725,2036.09064060508,3143.4952439504045,2823.7075155133007,3563.4215964926457
48,3439.7201962089534,1770.8173961669584,1944.8867559421801,3100.7027133914503,2824.356365691954,3553.7477238925962
49,3439.6916859163252,1790.3012080384412,1874.6029756931391,3055.534710850248,2825.0843080458026,3544.233526369179
50,3439.658213048608,1806.3199189656798,1822.4784896345668,3008.367338769742,2825.8326097732656,3535.5519081396324
51,3439.622642626978,1818.7056519921396,1784.6650190648636,2960.4375971846043,2826.546098080538,3528.1498057599647
52,3439.5877068972627,1827.7007849978147,1757.3933517529647,2913.1218343315895,2827.1821253949656,3522.214174099183
53,3439.5556681752855,1833.7902597615873,1737.5659549473105,2867.4965706902035,2827.7155826405733,3517.719587035755
54,3439.5280420568934,1837.5459123441358,1722.8752332997035,2824.2227845920916,2828.138427927259,3514.507751464699
55,3439.505533796429,1839.5197638263978,1711.6918506623754,2783.6083707963294,2828.4556037754364,3512.3607470994098
56,3439.4881642471323,1840.188409796173,1702.8961833433314,2745.7194665975476,2828.679894693448,3511.0525427342404
57,3439.4754871623304,1839.934869044638,1695.728489346573,2710.4785591032874,2828.827437453681,3510.3782933036364
58,3439.466808802612,1839.0521497437223,1689.6762712461762,2677.7333982249334,2828.9145666760837,3510.16689503702
59,3439.4613605572717,1837.7566003930956,1684.3951960707354,2647.30001257942,2828.9559955133586,3510.2830814784893
60,3439.458410982232,1836.2038143733978,1679.654982719341,2618.987557222563,2828.964024662735,3510.6240612601355
61,3439.4573245342062,1834.5034573191247,1675.3026065752415,2592.6117037547447,2828.948414572129,3511.1139955744093
62,3439.457582087514,1832.7316065011823,1671.2372534562794,2568.001196483641,2828.9166166732634,3511.6981887197435
63,3439.4587782450144,1830.9403630014615,1667.3932338475547,2545.0004661781395,2828.874153962541,3512.337891603325
64,3439.4606070305067,1829.1650210091045,1663.7283199281524,2523.470035070262,2828.825026326176,3513.006039162451
